LANGUAGE,Русский
VSD_DESC,Настройка скорости создания транспортных средств.
VSD_DEP_PER,Использовать отдельные таймеры для каждого депо
VSD_BUS_DEL,Задержка создания автобусов
VSD_TRA_DEL,Задержка создания трамваев
VSD_TRO_DEL,Задержка создания троллейбусов
VSD_HEL_DEL,Задержка создания пассажирских вертолётов
VSD_BLI_DEL,Задержка создания дирижаблей
VSD_TIM_BLK,Создание заблокировано для
VSD_TIM_APP,Примерное время в игре
VSD_TIM_HR,час
VSD_TIM_HRS,часы
VSD_TIM_MN,минута
VSD_TIM_MNS,минуты
TRN_CHOICE,Установить язык
TRN_SYS,Использ. язык игры
